Clima,Fonte,Gs,Nome,Sottotipo,Terreno,Tipo
"Caldi, Temperati",Guida alla Magia,1/8,Millepiedi Domestico,,"Foreste, Sotterranei",Parassita
"Caldi, Temperati",Bestiario 1,1/8,Pipistrello,,"Deserti, Foreste",Animale
"Temperati, Tropicali",Guida alla Magia,1/8,Riccio,,Foreste,Animale
"Caldi, Temperati",Bestiario 1,1/8,Rospo,,Foreste,Animale
Temperati,Bestiario 1,1/6,Corvo,,Qualsiasi,Animale
"Caldi, Temperati",Bestiario 1,1/6,Lucertola,,Qualsiasi,Animale
Caldi,Bestiario 4,1/6,Ornitorinco,,Foreste,Animale
"Temperati, Tropicali",Guida alla Magia,1/6,Tartaruga,,"Fiumi, Foreste, Oceani",Animale
"Caldi, Temperati",Bestiario 4,1/4,Archaeopteryx,,Foreste,Animale
Temperati,Bestiario 1,1/4,Coboldo,Rettile,"Foreste, Sotterranei",Umanoide
"Caldi, Temperati",Bestiario 4,1/4,Dodo,,Isole,Animale
Qualsiasi,Bestiario 4,1/4,Fatina dei Denti,Extraplanare,"Pianure, Urbani",Folletto
"Caldi, Temperati",Bestiario 1,1/4,Gatto,,"Pianure, Urbani",Animale
Qualsiasi,Bestiario 4,1/4,Gerride Ninfa,,Acquatici,Parassita
Qualsiasi,Bestiario 1,1/4,Gnefro,,Sotterranei,Folletto
Qualsiasi,Guida alla Magia,1/4,Granchio Reale,Acquatico,Acquatici,Parassita
Qualsiasi,Bestiario 3,1/4,Lontra,,Acquatici,Animale
"Caldi, Temperati",Bestiario 1,1/4,Millepiedi delle Fogne,,"Foreste, Sotterranei",Parassita
Temperati,Bestiario 3,1/4,Porcospino,,"Foreste, Pianure",Animale
Temperati,Bestiario 3,1/4,Puzzola,,Foreste,Animale
-,Bestiario 4,1/4,Ragno Scarlatto,,Qualsiasi,Parassita
Temperati,Guida alla Magia,1/4,Ratto Asino,,"Foreste, Zone Costiere",Animale
Caldi,Bestiario 1,1/4,Scimmia,,Foreste,Animale
"Caldi, Temperati",Bestiario 4,1/4,Scorpione Pungiglione Verde,,Foreste,Parassita
Temperati,Bestiario 1,1/4,Topo,,Qualsiasi,Animale
Temperati,Bestiario 4,1/4,Tuatara,,Isole,Animale
-,Bestiario 3,1/4,Volpe,,Qualsiasi,Animale
-,Bestiario 3,1/3,"Animale da Pascolo, Capra",,Qualsiasi,Animale
-,Bestiario 1,1/3,Cane,,Qualsiasi,Animale
Temperati,Bestiario 4,1/3,Cigno Trombettiere,,"Laghi, Paludi",Animale
-,Bestiario 4,1/3,Decapitato,,Qualsiasi,Non Morto
Qualsiasi,Bestiario 1,1/3,Drow,Elfo,Sotterranei,Umanoide
Qualsiasi,Bestiario 1,1/3,Duergar,Nano,Sotterranei,Umanoide
Temperati,Bestiario 1,1/3,Falco,,Foreste,Animale
Temperati,Bestiario 1,1/3,Goblin,Goblinoide,"Foreste, Pianure solitamente Costiere",Umanoide
Qualsiasi,Bestiario 4,1/3,"Gremlin, Grimple",,Urbani,Folletto
Temperati,Bestiario 1,1/3,Gufo,,Foreste,Animale
-,Bestiario 3,1/3,Maiale,,Qualsiasi,Animale
Temperati,Bestiario 1,1/3,Marinide,Acquatico,Oceani,Umanoide
Temperati,Bestiario 1,1/3,Orco,,"Colline, Montagne, Sotterranei",Umanoide
Caldi,Bestiario 2,1/3,Pastinaca Giovane,Acquatico,Oceani,Animale
Qualsiasi,Bestiario 1,1/3,Ratto Crudele,,Urbani,Animale
Temperati,Bestiario 3,1/3,Rattoide,,"Deserti, Urbani",Umanoide
-,Bestiario 1,1/3,Scarabeo del Fuoco,,Qualsiasi,Parassita
-,Bestiario 1,1/3,Scheletro,,Qualsiasi,Non Morto
Temperati,Bestiario 3,1/3,Scoiattolo Volante,,Foreste,Animale
Temperati,Bestiario 3,1/3,Spiritello,,Foreste,Folletto
"Caldi, Temperati",Bestiario 2,1/3,Tartaruga Azzannatrice,,"Acquatici, Spiagge",Animale
Temperati,Guida alla Magia,1/3,Tordo,,Foreste,Animale
-,Bestiario 1,1/2,Aasimar,Nativo,Qualsiasi,Esterno
Temperati,Bestiario 4,1/2,Alpluachra,Acquatico,"Acque Dolci, Foreste",Folletto
"Caldi, Temperati",Bestiario 3,1/2,"Animale da Pascolo, Antilope",,Pianure,Animale
Temperati,Bestiario 1,1/2,Aquila,,Montagne,Animale
Caldi,Bestiario 3,1/2,Avvoltoio,,"Colline, Pianure",Animale
Caldi,Bestiario 2,1/2,Babbuino,,"Foreste, Pianure",Animale
-,Bestiario 2,1/2,Blatta Gigante,,Qualsiasi,Parassita
Temperati,Bestiario 1,1/2,"Cavallo, Pony",,Pianure,Animale
-,Bestiario 4,1/2,Changeling,Changeling,Qualsiasi,Umanoide
Qualsiasi,Bestiario 1,1/2,Delfino,,Oceani,Animale
-,Bestiario 2,1/2,Dhampir,,Qualsiasi,Umanoide
"Caldi, Temperati",Bestiario 2,1/2,"Dinosauro, Compsognato",,"Foreste, Pianure",Animale
Temperati,Bestiario 1,1/2,Donnola,,Colline,Animale
"Caldi, Temperati",Bestiario 3,1/2,Felinide,Felinide,"Foreste, Pianure, Urbani",Umanoide
"Caldi, Temperati",Bestiario 4,1/2,"Formian, Lavoratore",,"Sotterranei, Terreni",Umanoide Mostruoso
Temperati,Bestiario 4,1/2,Gathlain,,"Foreste, Giungle",Folletto
-,Bestiario 2,1/2,Ghermito,Nativo,Qualsiasi (Piano dell'Ombra),Esterno
Qualsiasi,Bestiario 1,1/2,Granchio del Cocco,Acquatico,Acquatici,Parassita
Temperati,Bestiario 4,1/2,"Gremlin, Haniver",Acquatico,Zone Costiere,Folletto
Caldi,Bestiario 2,1/2,"Gremlin, Pugwampi",,Colline,Folletto
Qualsiasi,Bestiario 2,1/2,Grindylow,Acquatico,Acquatici,Aberrazione
Caldi,Bestiario 2,1/2,Grippli,Grippli,"Foreste, Paludi",Umanoide
Temperati,Bestiario 3,1/2,Gufo della Vigna,,Foreste,Animale
Temperati,Bestiario 1,1/2,Hobgoblin,Goblinoide,Colline,Umanoide
Qualsiasi,Bestiario 2,1/2,Ifrit,Nativo,Terreni,Esterno
-,Bestiario 4,1/2,Isitoq,,Qualsiasi,Non Morto
Caldi,Bestiario 4,1/2,Kasatha,Kasatha,Deserti,Umanoide
Temperati,Bestiario 4,1/2,Kitsune,"Kitsune, Mutaforma","Colline, Foreste, Montagne",Umanoide
"Temperati, Tropicale",Bestiario 2,1/2,Larva di Mosca Gigante,,Qualsiasi,Parassita
Qualsiasi,Bestiario 3,1/2,"Leshy, Foglia","Leshy, Mutaforma","Colline, Foreste",Vegetale
"Caldi, Temperati",Bestiario 2,1/2,Locathah,Acquatico,Acquatici,Umanoide
-,Bestiario 2,1/2,Mano Strisciante,,Qualsiasi,Non Morto
Temperati,Bestiario 3,1/2,"Marsupiale, Canguro",,"Colline, Pianure",Animale
Caldi,Bestiario 3,1/2,"Marsupiale, Tilacino",,Colline,Animale
-,Bestiario 3,1/2,"Meccanico, Spia",Meccanico,Qualsiasi,Costrutto
"Caldi, Temperati",Bestiario 1,1/2,Millepiedi Gigante,,"Foreste, Sotterranei",Parassita
Caldi,Bestiario 4,1/2,Nagaji,Rettile,"Colline, Foreste",Umanoide
-,Bestiario 2,1/2,Ondine,Nativo,Qualsiasi,Esterno
-,Bestiario 2,1/2,Oreade,Nativo,Qualsiasi,Esterno
Caldi,Bestiario 2,1/2,Pastinaca,Acquatico,Oceani,Animale
"Freddi, Temperati",Guida alla Magia,1/2,Polpo dagli Anelli Blu,Acquatico,Acquatici,Animale
Temperati,Bestiario 3,1/2,Procione,,Foreste,Animale
Qualsiasi,Bestiario 4,1/2,Pulce Gigante,,"Sotterranei, Terreni",Parassita
"Caldi, Temperati",Bestiario 3,1/2,Ragno Granchio Gigante,,Foreste,Parassita
Caldi,Bestiario 1,1/2,Rana Velenosa,,"Acquatici, Paludi",Animale
Qualsiasi,Bestiario 3,1/2,Sagari,,Foreste,Aberrazione
